name*,healthScore*,lifeExp*,idNum
CAROLYN,00000.385,00026.893,000042
MARCELLE,00000.005,00084.191,001368
CLYDE,00000.003,00086.649,002060
MELVA,00000.011,00080.453,000851
SHAY,00000.003,00086.675,002070
MAIA,00000.002,00088.360,002900
SEBRINA,00000.002,00088.406,002929
KATHELEEN,00000.001,00089.443,003709
NICKI,00000.005,00083.914,001313
BRITTA,00000.001,00088.651,003090
CHARLINE,00000.005,00084.490,001431
AKIKO,00000.002,00087.640,002496
RENEA,00000.003,00086.226,001907
WILLOW,00000.001,00089.759,004003
TWYLA,00000.005,00084.402,001412
EBONY,00000.027,00074.192,000492
DEVORAH,00000.002,00088.511,002996
CARRY,00000.001,00089.065,003393

