LastName*,FirstName*,Age*,Kids*,Married,SocialSecurityNum*
GLOVER,WILEY,045,02,0,168135169
CRAWFORD,JOSHUA,037,02,1,391927618
FOLEY,LARRAINE,036,00,0,000598828
VELEZ,LU,055,03,0,170545047
AYERS,OFELIA,029,03,0,950411229
RUSSO,KANDRA,059,01,1,070256741
SCOTT,EMELY,029,02,0,040892688
PINEDA,MERRILEE,070,01,0,107015470
MYERS,DALILA,025,03,0,374456624
GLENN,ALEISHA,034,01,0,062772359
SAVAGE,VENITA,042,01,1,673592202
ROWLAND,TANNA,047,01,1,119649969
STONE,SHALON,051,03,1,416856097
HENDRIX,SIDNEY,038,03,1,303540474
HULL,MARK,003,01,1,155332294
ROMAN,REMA,011,02,0,214054688
HANCOCK,AL,032,02,1,442753239
SWANSON,KYMBERLY,002,08,0,050717901
STEWART,ESMERALDA,009,03,0,053101700
HUTCHINSON,SAU,030,01,0,400535272
HOOPER,KALYN,045,02,1,359701849
TAPIA,ISSAC,044,01,1,488958893
BECKER,AKILAH,102,00,0,070878024
DONOVAN,LAVONDA,060,00,0,760932455
SUAREZ,KATHEY,055,03,0,049349703
MORRIS,MIGUELINA,043,01,0,460600710
MOLINA,ROSARIA,037,03,1,700478540
FITZGERALD,TOMAS,049,01,0,054473120
HUYNH,SUSANA,047,01,1,250702097
GILLESPIE,ALEC,010,01,0,304436913
SHANNON,IMOGENE,001,00,1,226249859
HULL,ROSANNA,038,01,0,200635306
ROLLINS,LAI,023,01,0,004711882
BARTLETT,FAIRY,056,03,1,212100240
STEWART,SHAUNTA,059,00,1,009966808
COOLEY,SAGE,051,01,0,002057900
MUELLER,NATHANAEL,051,00,1,261103878
LIU,LETITIA,006,02,0,109702822
MCLAUGHLIN,SALENA,015,00,0,037044977
BLACK,IOLA,051,01,1,332440497
HENSON,ESTELA,020,03,0,240573072
GRIMES,DEMETRICE,013,01,0,002998995
JEFFERSON,THURMAN,041,02,0,296268277
BALDWIN,GARNET,021,01,0,694544272
STEPHENSON,CLEOPATRA,026,04,0,091552390
JACOBSON,DAMARIS,045,01,0,596231107
LOGAN,SEAN,018,02,1,489181408
MALDONADO,LAVERN,047,01,0,289768065
HOGAN,YUKO,021,00,1,428244863
ZHANG,DEANN,041,05,1,003275005
HAYES,BRENT,041,03,1,102472051
ROWLAND,LANNIE,014,01,1,657204014
BRIDGES,LINDSAY,041,03,0,108945102
BARKER,SANTINA,049,02,1,033156709
OCONNOR,FLORIDA,011,00,0,127005211
POPE,ANNETTE,052,01,1,477461882
MORAN,MIKE,042,00,0,168091549
KENNEDY,ELIZ,043,05,0,110657594
BARTLETT,NEDA,024,03,1,113122865
KANE,GERMAN,032,02,0,230243971
MEDINA,TRENT,044,02,0,382688146
HARMON,MCKENZIE,014,02,0,505994782
LAM,SHAVON,016,01,0,073556537
CASEY,BIRDIE,111,03,0,852874041
ALI,EASTER,072,00,1,257411686
ROBLES,JOLEEN,055,01,1,547807047
GENTRY,VANDA,002,01,1,248284267
BAUTISTA,CARTER,008,00,1,490190572
BRYAN,ARNOLDO,044,01,0,816610173
CUEVAS,LUIS,005,00,1,144719626
ARIAS,ALANNA,044,03,1,387241047
ROBBINS,RICHIE,034,02,0,200009909
NOLAN,JANETH,023,03,1,293836846
OLIVER,DINA,033,03,0,185533883
BEASLEY,LEANDRO,001,00,1,027159617
MORTON,ADENA,008,00,1,789510961
WEEKS,THANH,046,01,1,511582256
MCKENZIE,DUANE,002,03,1,052948359
PARK,YU,031,00,0,019834301
SAMPSON,TAMATHA,007,03,1,549293548
ADAMS,CRISTAL,047,03,0,252790051
HATFIELD,DARCI,017,01,1,763457539
CAIN,TEMPLE,053,00,1,419557183
GATES,CORETTA,034,00,1,639656911
GREEN,ALONZO,059,00,0,429744000
JOSEPH,TAMI,047,03,1,023797505
WALTER,ELFRIEDA,003,00,1,122718941
WATERS,CHRISTOPHER,014,00,0,271376745
PEREZ,VERONICA,025,03,0,615768118
CLAY,BLAIR,034,00,1,797947479
VARGAS,RONI,060,03,1,037471107
BROWN,UNA,098,01,0,214768359
BAKER,WALLY,070,03,0,201985854
CHUNG,NORIKO,016,03,0,001013571
NELSON,HILARIA,055,02,0,885170018
EVERETT,CAMERON,009,02,1,169829016
WOODS,ANGELA,004,02,0,859720687
DUNN,DUANE,008,03,1,178478671
ORTEGA,JENNEFER,014,02,1,670116526
REYES,TERA,006,00,0,124060041
PUGH,RIMA,047,00,1,208694542
KEITH,LEIF,002,01,1,089358093
DORSEY,JOELLA,008,02,0,782793729
TAYLOR,JEANNINE,082,00,1,563142094
FLORES,DANNIE,060,03,1,372921588
ESCOBAR,SHERELL,019,02,1,207850482
BEARD,JAYNE,007,02,0,926044084
BAKER,DONELLA,013,02,0,041925403
SANTOS,GERI,003,03,0,381907216
WOLFE,DUSTY,010,00,0,578331023
HOBBS,FLORENCIO,036,02,0,005871220
MORAN,VITO,059,00,0,520889218
WATSON,CHASE,006,02,1,282553000
WHITAKER,TEISHA,031,02,1,410303016
LEVINE,GRACIELA,055,01,1,215544376
ATKINSON,ANDREA,045,01,1,381917970
MATHEWS,VERA,107,00,0,589581503
